time,input,output
-5,0.0952764,0.0458291
-4.9,0.0964824,0.0458291
-4.8,0.0940703,0.0446231
-4.7,0.0928643,0.0434171
-4.6,0.0952764,0.0446231
-4.5,0.0952764,0.0434171
-4.4,0.0964824,0.0458291
-4.3,0.0964824,0.0446231
-4.2,0.0952764,0.0458291
-4.1,0.0964824,0.0446231
-4,0.0940703,0.0434171
-3.9,0.0976884,0.0446231
-3.8,0.0964824,0.0458291
-3.7,0.0952764,0.0446231
-3.6,0.0964824,0.0446231
-3.5,0.0952764,0.0446231
-3.4,0.0940703,0.0434171
-3.3,0.0976884,0.0446231
-3.2,0.0952764,0.0434171
-3.1,0.0952764,0.0434171
-3,0.0964824,0.0446231
-2.9,0.0964824,0.0446231
-2.8,0.0976884,0.0446231
-2.7,0.0952764,0.0434171
-2.6,0.0976884,0.0446231
-2.5,0.0964824,0.0446231
-2.4,0.0952764,0.042211
-2.3,0.0976884,0.042211
-2.2,0.0976884,0.042211
-2.1,0.0964824,0.041005
-2,0.0964824,0.042211
-1.9,0.0952764,0.042211
-1.8,0.0940703,0.041005
-1.7,0.0952764,0.041005
-1.6,0.0952764,0.041005
-1.5,0.0964824,0.042211
-1.4,0.0952764,0.038593
-1.3,0.0952764,0.038593
-1.2,0.0952764,0.038593
-1.1,0.0940703,0.0361809
-1,0.0964824,0.0361809
-0.9,0.0952764,0.0337688
-0.8,0.0976884,0.0349749
-0.7,0.0964824,0.0337688
-0.6,0.0952764,0.0337688
-0.5,0.0952764,0.0337688
-0.4,0.0964824,0.0337688
-0.3,0.0952764,0.0337688
-0.2,0.0964824,0.0325628
-0.1,0.0964824,0.0337688
0,0.0868342,0.0325628
0.1,0.0976884,0.0325628
0.2,0.0952764,0.0301508
0.3,0.0976884,0.0241206
0.4,0.0952764,0.0217085
0.5,0.0976884,0.0192965
0.6,0.0988945,0.0205025
0.7,0.0952764,0.0192965
0.8,0.0976884,0.0192965
0.9,0.0952764,0.0192965
1,0.0964824,0.0192965
1.1,0.0892462,0.0205025
1.2,0.0964824,0.0192965
1.3,0.0964824,0.0205025
1.4,0.0952764,0.0192965
1.5,0.0952764,0.0192965
1.6,0.0976884,0.0192965
1.7,0.0964824,0.0180905
1.8,0.0964824,0.0180905
1.9,0.0976884,0.0192965
2,0.0964824,0.0180905
2.1,0.0976884,0.0192965
2.2,0.0952764,0.0192965
2.3,0.0952764,0.0180905
2.4,0.0952764,0.0205025
2.5,0.0952764,0.0180905
2.6,0.0988945,0.0192965
2.7,0.0952764,0.0192965
2.8,0.0964824,0.0205025
2.9,0.0964824,0.0192965
3,0.0940703,0.0180905
3.1,0.0976884,0.0192965
3.2,0.0976884,0.0192965
3.3,0.0964824,0.0180905
3.4,0.0964824,0.0192965
3.5,0.0976884,0.0205025
3.6,0.0952764,0.0205025
3.7,0.0988945,0.0192965
3.8,0.0976884,0.0192965
3.9,0.0964824,0.0192965
4,0.1001,0.0192965
4.1,0.0976884,0.0192965
4.2,0.0976884,0.0205025
4.3,0.0952764,0.0192965
4.4,0.0976884,0.0192965
4.5,0.0964824,0.0192965
4.6,0.0976884,0.0192965
4.7,0.0964824,0.0205025
4.8,0.0952764,0.0192965
4.9,0.0976884,0.0192965
