time,input,output
-5,0.984522,0.722814
-4.9,0.984522,0.722814
-4.8,0.984522,0.722814
-4.7,0.984522,0.722814
-4.6,0.984522,0.722814
-4.5,0.984522,0.722814
-4.4,0.984522,0.722814
-4.3,0.984522,0.722814
-4.2,0.984522,0.722814
-4.1,0.984522,0.722814
-4,0.984522,0.722814
-3.9,0.984522,0.722814
-3.8,0.984522,0.722814
-3.7,0.984522,0.722814
-3.6,0.984522,0.710352
-3.5,0.984522,0.722814
-3.4,0.984522,0.722814
-3.3,0.984522,0.722814
-3.2,0.984522,0.722814
-3.1,0.984522,0.722814
-3,0.984522,0.722814
-2.9,0.984522,0.722814
-2.8,0.984522,0.722814
-2.7,0.984522,0.722814
-2.6,0.984522,0.722814
-2.5,0.984522,0.722814
-2.4,0.984522,0.722814
-2.3,0.984522,0.722814
-2.2,0.984522,0.722814
-2.1,0.984522,0.722814
-2,0.984522,0.722814
-1.9,0.984522,0.722814
-1.8,0.984522,0.722814
-1.7,0.984522,0.722814
-1.6,0.984522,0.722814
-1.5,0.984522,0.722814
-1.4,0.984522,0.722814
-1.3,0.984522,0.722814
-1.2,0.984522,0.722814
-1.1,0.984522,0.722814
-1,0.984522,0.722814
-0.9,0.984522,0.722814
-0.8,0.984522,0.722814
-0.7,0.984522,0.722814
-0.6,0.984522,0.722814
-0.5,0.984522,0.722814
-0.4,0.984522,0.722814
-0.3,0.984522,0.722814
-0.2,0.984522,0.722814
-0.1,0.984522,0.722814
0,0.984522,0.722814
0.1,0.984522,0.722814
0.2,0.984522,0.722814
0.3,0.984522,0.722814
0.4,0.984522,0.722814
0.5,0.984522,0.722814
0.6,0.984522,0.722814
0.7,0.984522,0.722814
0.8,0.984522,0.722814
0.9,0.984522,0.722814
1,0.97206,0.722814
1.1,0.984522,0.722814
1.2,0.984522,0.722814
1.3,0.984522,0.722814
1.4,0.984522,0.722814
1.5,0.984522,0.722814
1.6,0.984522,0.722814
1.7,0.984522,0.722814
1.8,0.984522,0.722814
1.9,0.984522,0.722814
2,0.984522,0.722814
2.1,0.984522,0.722814
2.2,0.984522,0.722814
2.3,0.984522,0.722814
2.4,0.984522,0.722814
2.5,0.984522,0.722814
2.6,0.984522,0.722814
2.7,0.984522,0.722814
2.8,0.984522,0.722814
2.9,0.984522,0.722814
3,0.984522,0.722814
3.1,0.984522,0.722814
3.2,0.984522,0.722814
3.3,0.984522,0.722814
3.4,0.984522,0.722814
3.5,0.984522,0.722814
3.6,0.984522,0.722814
3.7,0.984522,0.722814
3.8,0.984522,0.722814
3.9,0.984522,0.722814
4,0.984522,0.710352
4.1,0.984522,0.722814
4.2,0.984522,0.722814
4.3,0.984522,0.722814
4.4,0.984522,0.722814
4.5,0.97206,0.710352
4.6,0.984522,0.722814
4.7,0.984522,0.722814
4.8,0.984522,0.722814
4.9,0.984522,0.722814
