time,input,output
-5,0.698693,0.291859
-4.9,0.689849,0.291859
-4.8,0.689849,0.291859
-4.7,0.698693,0.291859
-4.6,0.689849,0.291859
-4.5,0.689849,0.291859
-4.4,0.689849,0.291859
-4.3,0.698693,0.291859
-4.2,0.698693,0.291859
-4.1,0.698693,0.291859
-4,0.689849,0.291859
-3.9,0.698693,0.291859
-3.8,0.698693,0.291859
-3.7,0.689849,0.291859
-3.6,0.689849,0.291859
-3.5,0.689849,0.291859
-3.4,0.689849,0.291859
-3.3,0.689849,0.291859
-3.2,0.698693,0.291859
-3.1,0.698693,0.291859
-3,0.698693,0.291859
-2.9,0.689849,0.291859
-2.8,0.689849,0.291859
-2.7,0.698693,0.291859
-2.6,0.689849,0.291859
-2.5,0.689849,0.291859
-2.4,0.689849,0.291859
-2.3,0.698693,0.291859
-2.2,0.689849,0.291859
-2.1,0.689849,0.291859
-2,0.689849,0.291859
-1.9,0.698693,0.291859
-1.8,0.689849,0.291859
-1.7,0.698693,0.291859
-1.6,0.698693,0.291859
-1.5,0.698693,0.291859
-1.4,0.689849,0.291859
-1.3,0.689849,0.291859
-1.2,0.698693,0.291859
-1.1,0.689849,0.291859
-1,0.689849,0.291859
-0.9,0.698693,0.291859
-0.8,0.698693,0.291859
-0.7,0.689849,0.291859
-0.6,0.689849,0.291859
-0.5,0.689849,0.291859
-0.4,0.689849,0.291859
-0.3,0.689849,0.291859
-0.2,0.689849,0.291859
-0.1,0.698693,0.291859
0,0.689849,0.291859
0.1,0.689849,0.291859
0.2,0.689849,0.291859
0.3,0.698693,0.291859
0.4,0.689849,0.291859
0.5,0.689849,0.291859
0.6,0.698693,0.291859
0.7,0.698693,0.291859
0.8,0.698693,0.291859
0.9,0.698693,0.291859
1,0.689849,0.291859
1.1,0.698693,0.291859
1.2,0.698693,0.291859
1.3,0.689849,0.291859
1.4,0.698693,0.291859
1.5,0.689849,0.291859
1.6,0.689849,0.291859
1.7,0.689849,0.291859
1.8,0.689849,0.291859
1.9,0.698693,0.291859
2,0.698693,0.291859
2.1,0.698693,0.291859
2.2,0.689849,0.291859
2.3,0.698693,0.291859
2.4,0.689849,0.291859
2.5,0.689849,0.291859
2.6,0.698693,0.291859
2.7,0.698693,0.291859
2.8,0.689849,0.291859
2.9,0.689849,0.291859
3,0.698693,0.291859
3.1,0.689849,0.291859
3.2,0.689849,0.291859
3.3,0.689849,0.291859
3.4,0.698693,0.291859
3.5,0.689849,0.291859
3.6,0.698693,0.291859
3.7,0.689849,0.291859
3.8,0.689849,0.291859
3.9,0.689849,0.291859
4,0.698693,0.291859
4.1,0.698693,0.291859
4.2,0.698693,0.291859
4.3,0.689849,0.291859
4.4,0.689849,0.291859
4.5,0.698693,0.291859
4.6,0.689849,0.291859
4.7,0.689849,0.291859
4.8,0.689849,0.291859
4.9,0.698693,0.291859
