time,input,output
-5,0.97206,0.760201
-4.9,0.984522,0.760201
-4.8,0.97206,0.760201
-4.7,0.984522,0.760201
-4.6,0.984522,0.760201
-4.5,0.97206,0.760201
-4.4,0.984522,0.760201
-4.3,0.984522,0.760201
-4.2,0.984522,0.760201
-4.1,0.984522,0.760201
-4,0.97206,0.760201
-3.9,0.97206,0.760201
-3.8,0.984522,0.760201
-3.7,0.984522,0.760201
-3.6,0.984522,0.760201
-3.5,0.984522,0.760201
-3.4,0.984522,0.760201
-3.3,0.984522,0.760201
-3.2,0.984522,0.760201
-3.1,0.984522,0.760201
-3,0.984522,0.760201
-2.9,0.984522,0.760201
-2.8,0.984522,0.760201
-2.7,0.97206,0.760201
-2.6,0.984522,0.760201
-2.5,0.984522,0.760201
-2.4,0.984522,0.760201
-2.3,0.984522,0.760201
-2.2,0.984522,0.760201
-2.1,0.984522,0.760201
-2,0.984522,0.760201
-1.9,0.984522,0.760201
-1.8,0.984522,0.760201
-1.7,0.984522,0.760201
-1.6,0.984522,0.760201
-1.5,0.984522,0.760201
-1.4,0.984522,0.760201
-1.3,0.984522,0.760201
-1.2,0.984522,0.760201
-1.1,0.984522,0.760201
-1,0.984522,0.760201
-0.9,0.984522,0.760201
-0.8,0.984522,0.760201
-0.7,0.984522,0.760201
-0.6,0.984522,0.760201
-0.5,0.984522,0.760201
-0.4,0.984522,0.760201
-0.3,0.984522,0.760201
-0.2,0.97206,0.760201
-0.1,0.984522,0.760201
0,0.984522,0.760201
0.1,0.984522,0.760201
0.2,0.984522,0.760201
0.3,0.97206,0.760201
0.4,0.984522,0.760201
0.5,0.984522,0.760201
0.6,0.97206,0.760201
0.7,0.984522,0.760201
0.8,0.97206,0.760201
0.9,0.984522,0.760201
1,0.984522,0.760201
1.1,0.984522,0.760201
1.2,0.984522,0.760201
1.3,0.97206,0.760201
1.4,0.97206,0.760201
1.5,0.984522,0.760201
1.6,0.984522,0.760201
1.7,0.984522,0.760201
1.8,0.984522,0.760201
1.9,0.984522,0.760201
2,0.984522,0.760201
2.1,0.984522,0.760201
2.2,0.984522,0.760201
2.3,0.984522,0.760201
2.4,0.984522,0.760201
2.5,0.984522,0.760201
2.6,0.984522,0.760201
2.7,0.984522,0.760201
2.8,0.984522,0.760201
2.9,0.984522,0.760201
3,0.984522,0.760201
3.1,0.984522,0.760201
3.2,0.984522,0.760201
3.3,0.97206,0.760201
3.4,0.984522,0.760201
3.5,0.984522,0.760201
3.6,0.984522,0.760201
3.7,0.984522,0.772663
3.8,0.97206,0.760201
3.9,0.984522,0.760201
4,0.984522,0.760201
4.1,0.984522,0.760201
4.2,0.984522,0.760201
4.3,0.984522,0.760201
4.4,0.984522,0.760201
4.5,0.984522,0.760201
4.6,0.984522,0.760201
4.7,0.984522,0.760201
4.8,0.984522,0.760201
4.9,0.97206,0.760201
