time,input,output
-5,1.28563,0.923015
-4.9,1.28563,0.923015
-4.8,1.28563,0.923015
-4.7,1.28563,0.923015
-4.6,1.28563,0.923015
-4.5,1.28563,0.923015
-4.4,1.28563,0.923015
-4.3,1.28563,0.923015
-4.2,1.28563,0.923015
-4.1,1.28563,0.923015
-4,1.28563,0.923015
-3.9,1.28563,0.923015
-3.8,1.28563,0.923015
-3.7,1.28563,0.923015
-3.6,1.28563,0.923015
-3.5,1.28563,0.923015
-3.4,1.28563,0.923015
-3.3,1.28563,0.923015
-3.2,1.28563,0.923015
-3.1,1.28563,0.923015
-3,1.28563,0.923015
-2.9,1.28563,0.923015
-2.8,1.28563,0.923015
-2.7,1.28563,0.923015
-2.6,1.28563,0.923015
-2.5,1.28563,0.923015
-2.4,1.28563,0.923015
-2.3,1.28563,0.923015
-2.2,1.28563,0.923015
-2.1,1.28563,0.923015
-2,1.28563,0.923015
-1.9,1.28563,0.923015
-1.8,1.28563,0.923015
-1.7,1.28563,0.923015
-1.6,1.28563,0.923015
-1.5,1.28563,0.923015
-1.4,1.28563,0.923015
-1.3,1.28563,0.923015
-1.2,1.28563,0.923015
-1.1,1.28563,0.923015
-1,1.28563,0.923015
-0.9,1.28563,0.923015
-0.8,1.28563,0.923015
-0.7,1.28563,0.923015
-0.6,1.28563,0.923015
-0.5,1.28563,0.923015
-0.4,1.28563,0.923015
-0.3,1.28563,0.923015
-0.2,1.28563,0.923015
-0.1,1.28563,0.923015
0,1.28563,0.923015
0.1,1.28563,0.923015
0.2,1.28563,0.923015
0.3,1.28563,0.923015
0.4,1.28563,0.923015
0.5,1.28563,0.923015
0.6,1.28563,0.923015
0.7,1.28563,0.923015
0.8,1.28563,0.923015
0.9,1.28563,0.923015
1,1.28563,0.923015
1.1,1.28563,0.923015
1.2,1.28563,0.923015
1.3,1.28563,0.923015
1.4,1.28563,0.923015
1.5,1.28563,0.923015
1.6,1.28563,0.923015
1.7,1.28563,0.923015
1.8,1.28563,0.923015
1.9,1.28563,0.923015
2,1.28563,0.923015
2.1,1.28563,0.923015
2.2,1.28563,0.923015
2.3,1.28563,0.923015
2.4,1.28563,0.923015
2.5,1.28563,0.923015
2.6,1.28563,0.923015
2.7,1.28563,0.923015
2.8,1.28563,0.923015
2.9,1.28563,0.923015
3,1.28563,0.923015
3.1,1.28563,0.923015
3.2,1.28563,0.923015
3.3,1.28563,0.923015
3.4,1.28563,0.923015
3.5,1.28563,0.923015
3.6,1.28563,0.923015
3.7,1.28563,0.923015
3.8,1.28563,0.923015
3.9,1.28563,0.923015
4,1.28563,0.923015
4.1,1.28563,0.923015
4.2,1.28563,0.923015
4.3,1.28563,0.923015
4.4,1.28563,0.923015
4.5,1.28563,0.923015
4.6,1.28563,0.923015
4.7,1.28563,0.923015
4.8,1.28563,0.923015
4.9,1.28563,0.923015
