time,input,output
-5,1.49266,1.13367
-4.9,1.49266,1.13367
-4.8,1.49266,1.13367
-4.7,1.49266,1.13367
-4.6,1.49266,1.13367
-4.5,1.49266,1.13367
-4.4,1.49266,1.13367
-4.3,1.49266,1.13367
-4.2,1.49266,1.13367
-4.1,1.49266,1.13367
-4,1.49266,1.13367
-3.9,1.49266,1.13367
-3.8,1.49266,1.13367
-3.7,1.49266,1.13367
-3.6,1.49266,1.13367
-3.5,1.49266,1.13367
-3.4,1.49266,1.13367
-3.3,1.49266,1.13367
-3.2,1.49266,1.13367
-3.1,1.49266,1.13367
-3,1.49266,1.13367
-2.9,1.49266,1.13367
-2.8,1.49266,1.13367
-2.7,1.49266,1.13367
-2.6,1.49266,1.13367
-2.5,1.49266,1.13367
-2.4,1.49266,1.13367
-2.3,1.49266,1.13367
-2.2,1.49266,1.13367
-2.1,1.49266,1.13367
-2,1.49266,1.13367
-1.9,1.49266,1.13367
-1.8,1.49266,1.13367
-1.7,1.49266,1.13367
-1.6,1.49266,1.13367
-1.5,1.49266,1.13367
-1.4,1.49266,1.13367
-1.3,1.49266,1.13367
-1.2,1.49266,1.13367
-1.1,1.49266,1.13367
-1,1.49266,1.13367
-0.9,1.49266,1.13367
-0.8,1.49266,1.13367
-0.7,1.49266,1.13367
-0.6,1.49266,1.13367
-0.5,1.49266,1.13367
-0.4,1.49266,1.13367
-0.3,1.49266,1.13367
-0.2,1.49266,1.13367
-0.1,1.49266,1.13367
0,1.49266,1.13367
0.1,1.49266,1.13367
0.2,1.49266,1.13367
0.3,1.49266,1.13367
0.4,1.49266,1.13367
0.5,1.49266,1.13367
0.6,1.49266,1.13367
0.7,1.49266,1.13367
0.8,1.49266,1.13367
0.9,1.49266,1.13367
1,1.49266,1.13367
1.1,1.49266,1.13367
1.2,1.49266,1.13367
1.3,1.49266,1.13367
1.4,1.49266,1.13367
1.5,1.49266,1.13367
1.6,1.49266,1.13367
1.7,1.49266,1.13367
1.8,1.49266,1.13367
1.9,1.49266,1.13367
2,1.49266,1.13367
2.1,1.49266,1.13367
2.2,1.49266,1.13367
2.3,1.49266,1.13367
2.4,1.49266,1.13367
2.5,1.49266,1.13367
2.6,1.49266,1.13367
2.7,1.49266,1.13367
2.8,1.49266,1.13367
2.9,1.49266,1.13367
3,1.49266,1.13367
3.1,1.49266,1.13367
3.2,1.49266,1.13367
3.3,1.49266,1.13367
3.4,1.49266,1.13367
3.5,1.49266,1.13367
3.6,1.49266,1.13367
3.7,1.49266,1.13367
3.8,1.49266,1.13367
3.9,1.49266,1.13367
4,1.49266,1.13367
4.1,1.49266,1.13367
4.2,1.49266,1.13367
4.3,1.49266,1.13367
4.4,1.49266,1.13367
4.5,1.49266,1.13367
4.6,1.49266,1.13367
4.7,1.49266,1.13367
4.8,1.49266,1.13367
4.9,1.49266,1.13367
