time,input,output
-5,1.0798,0.751759
-4.9,1.0798,0.751759
-4.8,1.0798,0.751759
-4.7,1.0798,0.751759
-4.6,1.0798,0.751759
-4.5,1.0798,0.751759
-4.4,1.0798,0.751759
-4.3,1.0798,0.751759
-4.2,1.0798,0.751759
-4.1,1.0798,0.751759
-4,1.0798,0.751759
-3.9,1.0798,0.751759
-3.8,1.0798,0.751759
-3.7,1.0798,0.751759
-3.6,1.0798,0.751759
-3.5,1.0798,0.751759
-3.4,1.0798,0.751759
-3.3,1.0798,0.751759
-3.2,1.0798,0.751759
-3.1,1.0798,0.751759
-3,1.0798,0.751759
-2.9,1.0798,0.751759
-2.8,1.0798,0.751759
-2.7,1.0798,0.751759
-2.6,1.0798,0.751759
-2.5,1.0798,0.751759
-2.4,1.0798,0.751759
-2.3,1.0798,0.751759
-2.2,1.0798,0.751759
-2.1,1.0798,0.751759
-2,1.0798,0.751759
-1.9,1.0798,0.751759
-1.8,1.0798,0.751759
-1.7,1.0798,0.751759
-1.6,1.0798,0.751759
-1.5,1.0798,0.751759
-1.4,1.0798,0.751759
-1.3,1.0798,0.751759
-1.2,1.0798,0.751759
-1.1,1.0798,0.751759
-1,1.0798,0.751759
-0.9,1.0798,0.751759
-0.8,1.0798,0.751759
-0.7,1.0798,0.751759
-0.6,1.0798,0.751759
-0.5,1.0798,0.751759
-0.4,1.0798,0.751759
-0.3,1.0798,0.751759
-0.2,1.0798,0.751759
-0.1,1.0798,0.751759
0,1.0798,0.751759
0.1,1.0798,0.751759
0.2,1.0798,0.751759
0.3,1.0798,0.751759
0.4,1.0798,0.751759
0.5,1.0798,0.751759
0.6,1.0798,0.751759
0.7,1.0798,0.751759
0.8,1.0798,0.751759
0.9,1.0798,0.751759
1,1.0798,0.751759
1.1,1.0798,0.751759
1.2,1.0798,0.751759
1.3,1.0798,0.751759
1.4,1.0798,0.751759
1.5,1.0798,0.751759
1.6,1.0798,0.751759
1.7,1.0798,0.751759
1.8,1.0798,0.751759
1.9,1.0798,0.751759
2,1.0798,0.751759
2.1,1.0798,0.751759
2.2,1.0798,0.751759
2.3,1.0798,0.751759
2.4,1.0798,0.751759
2.5,1.0798,0.751759
2.6,1.0798,0.751759
2.7,1.0798,0.751759
2.8,1.0798,0.751759
2.9,1.0798,0.751759
3,1.0798,0.751759
3.1,1.0798,0.751759
3.2,1.0798,0.751759
3.3,1.0798,0.751759
3.4,1.0798,0.751759
3.5,1.0798,0.751759
3.6,1.0798,0.751759
3.7,1.0798,0.751759
3.8,1.0798,0.751759
3.9,1.0798,0.751759
4,1.0798,0.751759
4.1,1.0798,0.751759
4.2,1.0798,0.751759
4.3,1.0798,0.751759
4.4,1.0798,0.751759
4.5,1.0798,0.751759
4.6,1.0798,0.751759
4.7,1.0798,0.751759
4.8,1.0798,0.751759
4.9,1.0798,0.751759
