time,input,output
-5,0.698693,0.221106
-4.9,0.698693,0.221106
-4.8,0.698693,0.221106
-4.7,0.698693,0.221106
-4.6,0.698693,0.221106
-4.5,0.698693,0.221106
-4.4,0.698693,0.221106
-4.3,0.698693,0.221106
-4.2,0.698693,0.221106
-4.1,0.698693,0.221106
-4,0.698693,0.221106
-3.9,0.689849,0.221106
-3.8,0.698693,0.221106
-3.7,0.698693,0.221106
-3.6,0.698693,0.221106
-3.5,0.698693,0.221106
-3.4,0.698693,0.221106
-3.3,0.698693,0.221106
-3.2,0.698693,0.221106
-3.1,0.698693,0.221106
-3,0.689849,0.221106
-2.9,0.689849,0.221106
-2.8,0.689849,0.221106
-2.7,0.689849,0.221106
-2.6,0.698693,0.221106
-2.5,0.698693,0.221106
-2.4,0.698693,0.221106
-2.3,0.689849,0.221106
-2.2,0.689849,0.221106
-2.1,0.689849,0.221106
-2,0.698693,0.221106
-1.9,0.698693,0.221106
-1.8,0.698693,0.221106
-1.7,0.698693,0.221106
-1.6,0.689849,0.221106
-1.5,0.698693,0.221106
-1.4,0.698693,0.221106
-1.3,0.698693,0.221106
-1.2,0.698693,0.221106
-1.1,0.689849,0.221106
-1,0.689849,0.221106
-0.9,0.689849,0.221106
-0.8,0.698693,0.221106
-0.7,0.698693,0.221106
-0.6,0.698693,0.221106
-0.5,0.698693,0.221106
-0.4,0.698693,0.221106
-0.3,0.698693,0.221106
-0.2,0.698693,0.221106
-0.1,0.698693,0.221106
0,0.698693,0.221106
0.1,0.698693,0.221106
0.2,0.698693,0.221106
0.3,0.698693,0.221106
0.4,0.689849,0.221106
0.5,0.689849,0.221106
0.6,0.698693,0.221106
0.7,0.689849,0.221106
0.8,0.698693,0.221106
0.9,0.689849,0.221106
1,0.698693,0.221106
1.1,0.698693,0.221106
1.2,0.689849,0.221106
1.3,0.698693,0.221106
1.4,0.698693,0.221106
1.5,0.698693,0.221106
1.6,0.698693,0.221106
1.7,0.689849,0.221106
1.8,0.689849,0.221106
1.9,0.698693,0.221106
2,0.689849,0.221106
2.1,0.689849,0.221106
2.2,0.689849,0.221106
2.3,0.689849,0.221106
2.4,0.698693,0.221106
2.5,0.689849,0.221106
2.6,0.698693,0.221106
2.7,0.689849,0.221106
2.8,0.698693,0.221106
2.9,0.698693,0.221106
3,0.689849,0.221106
3.1,0.689849,0.221106
3.2,0.689849,0.221106
3.3,0.698693,0.221106
3.4,0.698693,0.221106
3.5,0.689849,0.221106
3.6,0.698693,0.221106
3.7,0.698693,0.221106
3.8,0.689849,0.221106
3.9,0.698693,0.221106
4,0.689849,0.221106
4.1,0.698693,0.221106
4.2,0.698693,0.221106
4.3,0.689849,0.221106
4.4,0.698693,0.221106
4.5,0.689849,0.221106
4.6,0.698693,0.221106
4.7,0.698693,0.221106
4.8,0.698693,0.221106
4.9,0.698693,0.221106
