time,input,output
-5,0.495276,0.135075
-4.9,0.495276,0.135075
-4.8,0.488844,0.128643
-4.7,0.495276,0.135075
-4.6,0.495276,0.135075
-4.5,0.495276,0.135075
-4.4,0.488844,0.135075
-4.3,0.488844,0.135075
-4.2,0.495276,0.135075
-4.1,0.495276,0.135075
-4,0.495276,0.135075
-3.9,0.495276,0.135075
-3.8,0.488844,0.135075
-3.7,0.488844,0.128643
-3.6,0.495276,0.135075
-3.5,0.488844,0.135075
-3.4,0.495276,0.135075
-3.3,0.488844,0.135075
-3.2,0.488844,0.128643
-3.1,0.495276,0.135075
-3,0.488844,0.128643
-2.9,0.495276,0.135075
-2.8,0.488844,0.135075
-2.7,0.495276,0.135075
-2.6,0.495276,0.135075
-2.5,0.495276,0.128643
-2.4,0.495276,0.128643
-2.3,0.495276,0.135075
-2.2,0.495276,0.135075
-2.1,0.488844,0.135075
-2,0.495276,0.135075
-1.9,0.488844,0.128643
-1.8,0.495276,0.135075
-1.7,0.488844,0.135075
-1.6,0.495276,0.135075
-1.5,0.495276,0.135075
-1.4,0.495276,0.128643
-1.3,0.495276,0.135075
-1.2,0.488844,0.135075
-1.1,0.495276,0.135075
-1,0.495276,0.135075
-0.9,0.495276,0.135075
-0.8,0.495276,0.135075
-0.7,0.488844,0.128643
-0.6,0.495276,0.135075
-0.5,0.488844,0.135075
-0.4,0.488844,0.135075
-0.3,0.495276,0.128643
-0.2,0.495276,0.135075
-0.1,0.488844,0.135075
0,0.495276,0.135075
0.1,0.488844,0.135075
0.2,0.488844,0.128643
0.3,0.488844,0.135075
0.4,0.488844,0.128643
0.5,0.495276,0.135075
0.6,0.488844,0.135075
0.7,0.495276,0.135075
0.8,0.495276,0.135075
0.9,0.488844,0.135075
1,0.488844,0.135075
1.1,0.488844,0.135075
1.2,0.495276,0.135075
1.3,0.495276,0.135075
1.4,0.488844,0.135075
1.5,0.495276,0.135075
1.6,0.495276,0.135075
1.7,0.495276,0.135075
1.8,0.495276,0.135075
1.9,0.495276,0.135075
2,0.495276,0.135075
2.1,0.495276,0.135075
2.2,0.488844,0.135075
2.3,0.495276,0.135075
2.4,0.488844,0.135075
2.5,0.495276,0.135075
2.6,0.495276,0.135075
2.7,0.495276,0.135075
2.8,0.495276,0.135075
2.9,0.495276,0.135075
3,0.495276,0.135075
3.1,0.495276,0.135075
3.2,0.488844,0.135075
3.3,0.495276,0.135075
3.4,0.495276,0.135075
3.5,0.495276,0.135075
3.6,0.488844,0.135075
3.7,0.495276,0.135075
3.8,0.488844,0.135075
3.9,0.495276,0.135075
4,0.488844,0.135075
4.1,0.488844,0.141508
4.2,0.488844,0.135075
4.3,0.495276,0.135075
4.4,0.488844,0.135075
4.5,0.488844,0.135075
4.6,0.495276,0.135075
4.7,0.488844,0.135075
4.8,0.495276,0.135075
4.9,0.495276,0.135075
