time,input,output
-5,1.28563,1.03839
-4.9,1.28563,1.02191
-4.8,1.28563,1.03839
-4.7,1.28563,1.02191
-4.6,1.28563,1.02191
-4.5,1.26915,1.02191
-4.4,1.28563,1.03839
-4.3,1.28563,1.02191
-4.2,1.28563,1.03839
-4.1,1.28563,1.02191
-4,1.28563,1.03839
-3.9,1.28563,1.02191
-3.8,1.26915,1.02191
-3.7,1.28563,1.03839
-3.6,1.28563,1.03839
-3.5,1.28563,1.02191
-3.4,1.28563,1.03839
-3.3,1.28563,1.03839
-3.2,1.28563,1.03839
-3.1,1.26915,1.02191
-3,1.28563,1.03839
-2.9,1.28563,1.03839
-2.8,1.28563,1.02191
-2.7,1.28563,1.03839
-2.6,1.28563,1.03839
-2.5,1.28563,1.02191
-2.4,1.26915,1.03839
-2.3,1.28563,1.03839
-2.2,1.28563,1.03839
-2.1,1.28563,1.03839
-2,1.28563,1.03839
-1.9,1.28563,1.03839
-1.8,1.28563,1.03839
-1.7,1.28563,1.02191
-1.6,1.28563,1.02191
-1.5,1.26915,1.02191
-1.4,1.26915,1.02191
-1.3,1.28563,1.03839
-1.2,1.28563,1.03839
-1.1,1.28563,1.03839
-1,1.28563,1.03839
-0.9,1.28563,1.03839
-0.8,1.28563,1.02191
-0.7,1.28563,1.02191
-0.6,1.28563,1.03839
-0.5,1.28563,1.02191
-0.4,1.26915,1.02191
-0.3,1.26915,1.02191
-0.2,1.28563,1.03839
-0.1,1.28563,1.02191
0,1.28563,1.03839
0.1,1.28563,1.03839
0.2,1.28563,1.03839
0.3,1.28563,1.02191
0.4,1.28563,1.03839
0.5,1.28563,1.03839
0.6,1.28563,1.03839
0.7,1.28563,1.03839
0.8,1.28563,1.03839
0.9,1.28563,1.02191
1,1.26915,1.02191
1.1,1.28563,1.03839
1.2,1.28563,1.03839
1.3,1.28563,1.03839
1.4,1.28563,1.02191
1.5,1.28563,1.03839
1.6,1.28563,1.02191
1.7,1.28563,1.03839
1.8,1.28563,1.03839
1.9,1.28563,1.03839
2,1.28563,1.02191
2.1,1.28563,1.03839
2.2,1.28563,1.03839
2.3,1.28563,1.02191
2.4,1.28563,1.02191
2.5,1.28563,1.03839
2.6,1.26915,1.03839
2.7,1.28563,1.03839
2.8,1.28563,1.02191
2.9,1.28563,1.03839
3,1.26915,1.03839
3.1,1.28563,1.03839
3.2,1.28563,1.03839
3.3,1.28563,1.03839
3.4,1.28563,1.03839
3.5,1.28563,1.03839
3.6,1.28563,1.03839
3.7,1.28563,1.02191
3.8,1.28563,1.02191
3.9,1.28563,1.02191
4,1.28563,1.03839
4.1,1.28563,1.03839
4.2,1.28563,1.03839
4.3,1.28563,1.03839
4.4,1.28563,1.02191
4.5,1.26915,1.02191
4.6,1.28563,1.03839
4.7,1.28563,1.02191
4.8,1.26915,1.03839
4.9,1.28563,1.03839
