time,input,output
-5,0.588141,0.351357
-4.9,0.588141,0.358995
-4.8,0.588141,0.358995
-4.7,0.588141,0.358995
-4.6,0.595779,0.358995
-4.5,0.588141,0.358995
-4.4,0.588141,0.358995
-4.3,0.588141,0.358995
-4.2,0.588141,0.358995
-4.1,0.588141,0.358995
-4,0.595779,0.358995
-3.9,0.588141,0.358995
-3.8,0.595779,0.358995
-3.7,0.588141,0.358995
-3.6,0.588141,0.358995
-3.5,0.588141,0.358995
-3.4,0.595779,0.358995
-3.3,0.588141,0.351357
-3.2,0.588141,0.358995
-3.1,0.588141,0.351357
-3,0.588141,0.351357
-2.9,0.588141,0.351357
-2.8,0.588141,0.351357
-2.7,0.588141,0.351357
-2.6,0.595779,0.358995
-2.5,0.588141,0.351357
-2.4,0.588141,0.351357
-2.3,0.588141,0.351357
-2.2,0.595779,0.358995
-2.1,0.588141,0.358995
-2,0.595779,0.358995
-1.9,0.595779,0.358995
-1.8,0.588141,0.351357
-1.7,0.588141,0.358995
-1.6,0.595779,0.358995
-1.5,0.588141,0.351357
-1.4,0.588141,0.351357
-1.3,0.588141,0.351357
-1.2,0.588141,0.351357
-1.1,0.595779,0.358995
-1,0.588141,0.351357
-0.9,0.588141,0.351357
-0.8,0.588141,0.358995
-0.7,0.595779,0.358995
-0.6,0.588141,0.351357
-0.5,0.588141,0.358995
-0.4,0.595779,0.358995
-0.3,0.595779,0.358995
-0.2,0.588141,0.351357
-0.1,0.588141,0.358995
0,0.588141,0.351357
0.1,0.595779,0.358995
0.2,0.588141,0.358995
0.3,0.595779,0.351357
0.4,0.588141,0.351357
0.5,0.588141,0.358995
0.6,0.588141,0.351357
0.7,0.588141,0.358995
0.8,0.588141,0.351357
0.9,0.588141,0.351357
1,0.588141,0.351357
1.1,0.588141,0.351357
1.2,0.588141,0.351357
1.3,0.588141,0.351357
1.4,0.588141,0.351357
1.5,0.588141,0.351357
1.6,0.588141,0.358995
1.7,0.595779,0.358995
1.8,0.595779,0.358995
1.9,0.588141,0.351357
2,0.588141,0.351357
2.1,0.588141,0.351357
2.2,0.588141,0.351357
2.3,0.595779,0.358995
2.4,0.588141,0.358995
2.5,0.588141,0.351357
2.6,0.588141,0.351357
2.7,0.588141,0.351357
2.8,0.588141,0.351357
2.9,0.588141,0.358995
3,0.588141,0.351357
3.1,0.588141,0.351357
3.2,0.595779,0.358995
3.3,0.588141,0.351357
3.4,0.588141,0.351357
3.5,0.588141,0.351357
3.6,0.588141,0.351357
3.7,0.588141,0.351357
3.8,0.588141,0.358995
3.9,0.588141,0.351357
4,0.595779,0.358995
4.1,0.588141,0.351357
4.2,0.595779,0.358995
4.3,0.588141,0.351357
4.4,0.595779,0.358995
4.5,0.588141,0.358995
4.6,0.588141,0.358995
4.7,0.588141,0.351357
4.8,0.588141,0.351357
4.9,0.588141,0.351357
