time,input,output
-5,0.0976884,0.0639196
-4.9,0.0952764,0.0615075
-4.8,0.0976884,0.0627136
-4.7,0.0964824,0.0627136
-4.6,0.0952764,0.0627136
-4.5,0.0952764,0.0627136
-4.4,0.0964824,0.0615075
-4.3,0.0940703,0.0615075
-4.2,0.0976884,0.0639196
-4.1,0.0964824,0.0627136
-4,0.0952764,0.0627136
-3.9,0.0964824,0.0615075
-3.8,0.0952764,0.0627136
-3.7,0.0964824,0.0627136
-3.6,0.0976884,0.0639196
-3.5,0.0952764,0.0627136
-3.4,0.0964824,0.0627136
-3.3,0.0976884,0.0639196
-3.2,0.0940703,0.0603015
-3.1,0.0964824,0.0627136
-3,0.0952764,0.0615075
-2.9,0.0952764,0.0627136
-2.8,0.0964824,0.0639196
-2.7,0.0964824,0.0639196
-2.6,0.0952764,0.0627136
-2.5,0.0976884,0.0639196
-2.4,0.0952764,0.0615075
-2.3,0.0952764,0.0639196
-2.2,0.0952764,0.0615075
-2.1,0.0952764,0.0615075
-2,0.0976884,0.0627136
-1.9,0.0964824,0.0627136
-1.8,0.0952764,0.0615075
-1.7,0.0964824,0.0627136
-1.6,0.0964824,0.0615075
-1.5,0.0856281,0.0615075
-1.4,0.0976884,0.0627136
-1.3,0.0952764,0.0627136
-1.2,0.0964824,0.0627136
-1.1,0.0892462,0.0639196
-1,0.0964824,0.0615075
-0.9,0.0964824,0.0639196
-0.8,0.0964824,0.0627136
-0.7,0.0952764,0.0627136
-0.6,0.0952764,0.0627136
-0.5,0.0952764,0.0627136
-0.4,0.0940703,0.0615075
-0.3,0.0952764,0.0627136
-0.2,0.0952764,0.0615075
-0.1,0.0952764,0.0627136
0,0.0940703,0.0627136
0.1,0.0940703,0.0603015
0.2,0.0940703,0.0615075
0.3,0.0964824,0.0639196
0.4,0.0964824,0.0627136
0.5,0.0976884,0.0627136
0.6,0.0988945,0.0639196
0.7,0.0964824,0.0627136
0.8,0.0964824,0.0639196
0.9,0.0952764,0.0615075
1,0.0964824,0.0627136
1.1,0.0952764,0.0627136
1.2,0.0952764,0.0627136
1.3,0.0940703,0.0615075
1.4,0.0952764,0.0615075
1.5,0.0940703,0.0615075
1.6,0.0964824,0.0639196
1.7,0.0952764,0.0627136
1.8,0.0928643,0.0615075
1.9,0.0952764,0.0615075
2,0.0952764,0.0627136
2.1,0.0964824,0.0627136
2.2,0.0964824,0.0627136
2.3,0.0988945,0.0651256
2.4,0.0964824,0.0639196
2.5,0.0976884,0.0651256
2.6,0.0940703,0.0615075
2.7,0.0964824,0.0627136
2.8,0.0952764,0.0627136
2.9,0.0952764,0.0627136
3,0.0952764,0.0627136
3.1,0.0952764,0.0627136
3.2,0.0952764,0.0627136
3.3,0.0964824,0.0627136
3.4,0.0952764,0.0615075
3.5,0.0928643,0.0603015
3.6,0.0940703,0.0615075
3.7,0.0952764,0.0615075
3.8,0.0988945,0.0639196
3.9,0.0940703,0.0615075
4,0.0976884,0.0627136
4.1,0.0952764,0.0615075
4.2,0.0976884,0.0627136
4.3,0.0940703,0.0615075
4.4,0.0976884,0.0639196
4.5,0.0952764,0.0615075
4.6,0.0952764,0.0627136
4.7,0.0964824,0.0627136
4.8,0.0940703,0.0615075
4.9,0.0952764,0.0627136
