time,input,output
-5,1.49266,1.07698
-4.9,1.49266,1.05809
-4.8,1.49266,1.05809
-4.7,1.49266,1.05809
-4.6,1.49266,1.05809
-4.5,1.49266,1.05809
-4.4,1.49266,1.07698
-4.3,1.49266,1.07698
-4.2,1.49266,1.07698
-4.1,1.49266,1.07698
-4,1.49266,1.05809
-3.9,1.49266,1.05809
-3.8,1.49266,1.07698
-3.7,1.49266,1.05809
-3.6,1.49266,1.07698
-3.5,1.49266,1.07698
-3.4,1.49266,1.05809
-3.3,1.49266,1.07698
-3.2,1.49266,1.07698
-3.1,1.49266,1.07698
-3,1.49266,1.07698
-2.9,1.49266,1.07698
-2.8,1.49266,1.05809
-2.7,1.49266,1.07698
-2.6,1.49266,1.07698
-2.5,1.49266,1.05809
-2.4,1.49266,1.07698
-2.3,1.49266,1.07698
-2.2,1.49266,1.07698
-2.1,1.49266,1.05809
-2,1.49266,1.05809
-1.9,1.49266,1.07698
-1.8,1.49266,1.07698
-1.7,1.49266,1.07698
-1.6,1.49266,1.07698
-1.5,1.49266,1.07698
-1.4,1.49266,1.07698
-1.3,1.49266,1.05809
-1.2,1.49266,1.07698
-1.1,1.49266,1.07698
-1,1.49266,1.07698
-0.9,1.49266,1.07698
-0.8,1.49266,1.07698
-0.7,1.49266,1.07698
-0.6,1.49266,1.05809
-0.5,1.49266,1.05809
-0.4,1.49266,1.05809
-0.3,1.49266,1.05809
-0.2,1.49266,1.07698
-0.1,1.49266,1.05809
0,1.49266,1.05809
0.1,1.49266,1.05809
0.2,1.49266,1.05809
0.3,1.49266,1.05809
0.4,1.49266,1.07698
0.5,1.49266,1.05809
0.6,1.49266,1.05809
0.7,1.49266,1.05809
0.8,1.49266,1.07698
0.9,1.49266,1.05809
1,1.49266,1.07698
1.1,1.49266,1.05809
1.2,1.49266,1.07698
1.3,1.49266,1.07698
1.4,1.49266,1.05809
1.5,1.49266,1.05809
1.6,1.49266,1.05809
1.7,1.49266,1.07698
1.8,1.49266,1.07698
1.9,1.49266,1.07698
2,1.49266,1.05809
2.1,1.49266,1.05809
2.2,1.49266,1.07698
2.3,1.49266,1.07698
2.4,1.49266,1.07698
2.5,1.49266,1.07698
2.6,1.49266,1.05809
2.7,1.49266,1.07698
2.8,1.49266,1.07698
2.9,1.49266,1.07698
3,1.49266,1.05809
3.1,1.49266,1.05809
3.2,1.49266,1.07698
3.3,1.49266,1.07698
3.4,1.49266,1.05809
3.5,1.49266,1.05809
3.6,1.49266,1.07698
3.7,1.49266,1.07698
3.8,1.49266,1.07698
3.9,1.49266,1.07698
4,1.49266,1.07698
4.1,1.49266,1.07698
4.2,1.49266,1.07698
4.3,1.49266,1.07698
4.4,1.49266,1.07698
4.5,1.49266,1.07698
4.6,1.49266,1.07698
4.7,1.49266,1.07698
4.8,1.49266,1.07698
4.9,1.49266,1.07698
