time,input,output
-5,0.80402,0.41206
-4.9,0.79397,0.41206
-4.8,0.79397,0.41206
-4.7,0.79397,0.41206
-4.6,0.80402,0.41206
-4.5,0.79397,0.41206
-4.4,0.79397,0.41206
-4.3,0.79397,0.42211
-4.2,0.79397,0.41206
-4.1,0.79397,0.41206
-4,0.79397,0.41206
-3.9,0.79397,0.41206
-3.8,0.79397,0.41206
-3.7,0.79397,0.41206
-3.6,0.79397,0.41206
-3.5,0.79397,0.41206
-3.4,0.79397,0.41206
-3.3,0.79397,0.41206
-3.2,0.79397,0.41206
-3.1,0.79397,0.41206
-3,0.79397,0.41206
-2.9,0.79397,0.41206
-2.8,0.79397,0.41206
-2.7,0.79397,0.41206
-2.6,0.79397,0.41206
-2.5,0.79397,0.41206
-2.4,0.79397,0.41206
-2.3,0.79397,0.41206
-2.2,0.79397,0.41206
-2.1,0.79397,0.41206
-2,0.79397,0.41206
-1.9,0.79397,0.41206
-1.8,0.80402,0.42211
-1.7,0.79397,0.41206
-1.6,0.79397,0.42211
-1.5,0.79397,0.41206
-1.4,0.80402,0.42211
-1.3,0.79397,0.41206
-1.2,0.79397,0.41206
-1.1,0.79397,0.41206
-1,0.79397,0.41206
-0.9,0.79397,0.41206
-0.8,0.79397,0.41206
-0.7,0.79397,0.41206
-0.6,0.79397,0.41206
-0.5,0.79397,0.42211
-0.4,0.79397,0.42211
-0.3,0.80402,0.41206
-0.2,0.79397,0.41206
-0.1,0.79397,0.42211
0,0.79397,0.41206
0.1,0.80402,0.42211
0.2,0.79397,0.41206
0.3,0.79397,0.42211
0.4,0.79397,0.41206
0.5,0.79397,0.41206
0.6,0.79397,0.41206
0.7,0.79397,0.41206
0.8,0.79397,0.41206
0.9,0.79397,0.41206
1,0.80402,0.41206
1.1,0.79397,0.41206
1.2,0.79397,0.41206
1.3,0.79397,0.41206
1.4,0.79397,0.41206
1.5,0.79397,0.41206
1.6,0.79397,0.41206
1.7,0.79397,0.42211
1.8,0.79397,0.41206
1.9,0.79397,0.41206
2,0.79397,0.41206
2.1,0.80402,0.41206
2.2,0.79397,0.41206
2.3,0.79397,0.41206
2.4,0.79397,0.41206
2.5,0.79397,0.41206
2.6,0.79397,0.42211
2.7,0.79397,0.41206
2.8,0.79397,0.41206
2.9,0.79397,0.41206
3,0.79397,0.41206
3.1,0.79397,0.41206
3.2,0.79397,0.41206
3.3,0.79397,0.41206
3.4,0.79397,0.41206
3.5,0.79397,0.41206
3.6,0.79397,0.41206
3.7,0.79397,0.41206
3.8,0.79397,0.41206
3.9,0.79397,0.41206
4,0.79397,0.41206
4.1,0.80402,0.42211
4.2,0.79397,0.41206
4.3,0.79397,0.41206
4.4,0.79397,0.41206
4.5,0.80402,0.42211
4.6,0.79397,0.41206
4.7,0.79397,0.41206
4.8,0.79397,0.41206
4.9,0.79397,0.41206
