time,input,output
-5,0.192965,0.0699497
-4.9,0.195377,0.0723618
-4.8,0.195377,0.0723618
-4.7,0.195377,0.0723618
-4.6,0.195377,0.0723618
-4.5,0.195377,0.0723618
-4.4,0.195377,0.0747739
-4.3,0.192965,0.0747739
-4.2,0.195377,0.0747739
-4.1,0.195377,0.0771859
-4,0.197789,0.0771859
-3.9,0.195377,0.0747739
-3.8,0.195377,0.079598
-3.7,0.195377,0.08201
-3.6,0.195377,0.0771859
-3.5,0.192965,0.0771859
-3.4,0.192965,0.0771859
-3.3,0.195377,0.079598
-3.2,0.192965,0.0771859
-3.1,0.195377,0.0771859
-3,0.192965,0.0747739
-2.9,0.192965,0.0771859
-2.8,0.195377,0.0747739
-2.7,0.195377,0.0771859
-2.6,0.195377,0.0747739
-2.5,0.195377,0.0771859
-2.4,0.195377,0.0771859
-2.3,0.192965,0.0771859
-2.2,0.197789,0.079598
-2.1,0.195377,0.079598
-2,0.197789,0.08201
-1.9,0.195377,0.08201
-1.8,0.195377,0.08201
-1.7,0.192965,0.08201
-1.6,0.192965,0.08201
-1.5,0.195377,0.0844221
-1.4,0.192965,0.0844221
-1.3,0.195377,0.0844221
-1.2,0.192965,0.08201
-1.1,0.195377,0.08201
-1,0.195377,0.08201
-0.9,0.195377,0.08201
-0.8,0.192965,0.08201
-0.7,0.195377,0.08201
-0.6,0.192965,0.08201
-0.5,0.195377,0.0844221
-0.4,0.195377,0.0844221
-0.3,0.190553,0.0844221
-0.2,0.195377,0.0844221
-0.1,0.195377,0.0844221
0,0.188141,0.0844221
0.1,0.195377,0.0844221
0.2,0.195377,0.0844221
0.3,0.192965,0.0844221
0.4,0.192965,0.0844221
0.5,0.192965,0.08201
0.6,0.195377,0.0844221
0.7,0.195377,0.0868342
0.8,0.192965,0.0844221
0.9,0.192965,0.0844221
1,0.195377,0.0868342
1.1,0.195377,0.0844221
1.2,0.192965,0.0844221
1.3,0.192965,0.0868342
1.4,0.195377,0.0892462
1.5,0.195377,0.0892462
1.6,0.192965,0.0892462
1.7,0.192965,0.0868342
1.8,0.195377,0.0868342
1.9,0.195377,0.0892462
2,0.195377,0.0892462
2.1,0.195377,0.0892462
2.2,0.195377,0.0892462
2.3,0.195377,0.0892462
2.4,0.192965,0.0868342
2.5,0.195377,0.0892462
2.6,0.192965,0.0892462
2.7,0.195377,0.0892462
2.8,0.195377,0.0892462
2.9,0.195377,0.0892462
3,0.192965,0.0868342
3.1,0.192965,0.0892462
3.2,0.192965,0.0892462
3.3,0.195377,0.0892462
3.4,0.195377,0.0892462
3.5,0.192965,0.0868342
3.6,0.195377,0.0892462
3.7,0.195377,0.0892462
3.8,0.192965,0.0892462
3.9,0.192965,0.0868342
4,0.195377,0.0892462
4.1,0.195377,0.0892462
4.2,0.195377,0.0868342
4.3,0.195377,0.0868342
4.4,0.192965,0.0868342
4.5,0.195377,0.0892462
4.6,0.192965,0.0868342
4.7,0.195377,0.0868342
4.8,0.195377,0.0868342
4.9,0.197789,0.0892462
