time,input,output
-5,0.0964824,0.0325628
-4.9,0.0940703,0.0313568
-4.8,0.0952764,0.0325628
-4.7,0.0952764,0.0325628
-4.6,0.0964824,0.0337688
-4.5,0.0952764,0.0313568
-4.4,0.0880402,0.0313568
-4.3,0.0880402,0.0325628
-4.2,0.0952764,0.0325628
-4.1,0.0976884,0.0325628
-4,0.0964824,0.0325628
-3.9,0.0964824,0.0325628
-3.8,0.0964824,0.0325628
-3.7,0.0964824,0.0325628
-3.6,0.0952764,0.0325628
-3.5,0.0976884,0.0325628
-3.4,0.0952764,0.0325628
-3.3,0.0964824,0.0325628
-3.2,0.0988945,0.0337688
-3.1,0.0976884,0.0325628
-3,0.0904523,0.0337688
-2.9,0.0952764,0.0313568
-2.8,0.0952764,0.0337688
-2.7,0.0952764,0.0325628
-2.6,0.0964824,0.0325628
-2.5,0.0988945,0.0337688
-2.4,0.0952764,0.0325628
-2.3,0.0964824,0.0337688
-2.2,0.0976884,0.0325628
-2.1,0.0964824,0.0337688
-2,0.0976884,0.0337688
-1.9,0.0964824,0.0325628
-1.8,0.0976884,0.0325628
-1.7,0.0964824,0.0325628
-1.6,0.0964824,0.0337688
-1.5,0.0964824,0.0325628
-1.4,0.0952764,0.0325628
-1.3,0.0952764,0.0325628
-1.2,0.0940703,0.0313568
-1.1,0.0964824,0.0337688
-1,0.0964824,0.0337688
-0.9,0.0952764,0.0337688
-0.8,0.0964824,0.0325628
-0.7,0.0964824,0.0337688
-0.6,0.0952764,0.0325628
-0.5,0.0988945,0.0337688
-0.4,0.0952764,0.0325628
-0.3,0.0964824,0.0325628
-0.2,0.0964824,0.0325628
-0.1,0.0940703,0.0325628
0,0.0952764,0.0325628
0.1,0.0952764,0.0325628
0.2,0.0964824,0.0337688
0.3,0.0892462,0.0313568
0.4,0.0928643,0.0313568
0.5,0.0940703,0.0325628
0.6,0.0952764,0.0325628
0.7,0.0964824,0.0337688
0.8,0.0964824,0.0325628
0.9,0.0964824,0.0337688
1,0.0964824,0.0325628
1.1,0.0868342,0.0325628
1.2,0.0976884,0.0337688
1.3,0.0964824,0.0325628
1.4,0.0964824,0.0337688
1.5,0.0964824,0.0325628
1.6,0.0952764,0.0325628
1.7,0.0952764,0.0313568
1.8,0.0964824,0.0325628
1.9,0.0964824,0.0325628
2,0.0976884,0.0325628
2.1,0.0964824,0.0325628
2.2,0.0976884,0.0337688
2.3,0.0976884,0.0337688
2.4,0.0952764,0.0325628
2.5,0.0976884,0.0337688
2.6,0.0976884,0.0325628
2.7,0.0964824,0.0337688
2.8,0.0988945,0.0337688
2.9,0.0952764,0.0325628
3,0.0976884,0.0337688
3.1,0.0964824,0.0325628
3.2,0.0976884,0.0337688
3.3,0.1001,0.0337688
3.4,0.0964824,0.0337688
3.5,0.0976884,0.0325628
3.6,0.0952764,0.0313568
3.7,0.0976884,0.0325628
3.8,0.0964824,0.0313568
3.9,0.0964824,0.0325628
4,0.0964824,0.0325628
4.1,0.0928643,0.0313568
4.2,0.0976884,0.0325628
4.3,0.0964824,0.0325628
4.4,0.0952764,0.0325628
4.5,0.0964824,0.0325628
4.6,0.0964824,0.0325628
4.7,0.0952764,0.0325628
4.8,0.0964824,0.0337688
4.9,0.0952764,0.0325628
