time,input,output
-5,0.488844,0.192965
-4.9,0.495276,0.186533
-4.8,0.488844,0.186533
-4.7,0.488844,0.186533
-4.6,0.488844,0.186533
-4.5,0.488844,0.186533
-4.4,0.488844,0.186533
-4.3,0.488844,0.186533
-4.2,0.488844,0.186533
-4.1,0.488844,0.186533
-4,0.495276,0.186533
-3.9,0.488844,0.186533
-3.8,0.488844,0.186533
-3.7,0.488844,0.186533
-3.6,0.495276,0.186533
-3.5,0.488844,0.186533
-3.4,0.495276,0.186533
-3.3,0.488844,0.186533
-3.2,0.495276,0.192965
-3.1,0.488844,0.186533
-3,0.488844,0.192965
-2.9,0.488844,0.186533
-2.8,0.488844,0.186533
-2.7,0.488844,0.186533
-2.6,0.488844,0.186533
-2.5,0.488844,0.186533
-2.4,0.488844,0.186533
-2.3,0.488844,0.186533
-2.2,0.488844,0.186533
-2.1,0.488844,0.186533
-2,0.488844,0.186533
-1.9,0.488844,0.192965
-1.8,0.488844,0.186533
-1.7,0.495276,0.186533
-1.6,0.488844,0.186533
-1.5,0.495276,0.192965
-1.4,0.495276,0.186533
-1.3,0.488844,0.192965
-1.2,0.488844,0.192965
-1.1,0.488844,0.192965
-1,0.488844,0.192965
-0.9,0.495276,0.186533
-0.8,0.488844,0.186533
-0.7,0.488844,0.186533
-0.6,0.488844,0.186533
-0.5,0.488844,0.186533
-0.4,0.488844,0.186533
-0.3,0.488844,0.186533
-0.2,0.488844,0.186533
-0.1,0.488844,0.186533
0,0.495276,0.186533
0.1,0.488844,0.186533
0.2,0.495276,0.186533
0.3,0.488844,0.186533
0.4,0.488844,0.186533
0.5,0.488844,0.186533
0.6,0.488844,0.186533
0.7,0.488844,0.186533
0.8,0.488844,0.186533
0.9,0.488844,0.186533
1,0.495276,0.186533
1.1,0.495276,0.186533
1.2,0.488844,0.186533
1.3,0.488844,0.186533
1.4,0.488844,0.186533
1.5,0.488844,0.186533
1.6,0.488844,0.186533
1.7,0.495276,0.186533
1.8,0.488844,0.186533
1.9,0.488844,0.192965
2,0.488844,0.186533
2.1,0.488844,0.186533
2.2,0.488844,0.186533
2.3,0.495276,0.186533
2.4,0.488844,0.186533
2.5,0.488844,0.186533
2.6,0.488844,0.186533
2.7,0.495276,0.186533
2.8,0.488844,0.186533
2.9,0.488844,0.186533
3,0.488844,0.186533
3.1,0.488844,0.186533
3.2,0.488844,0.186533
3.3,0.488844,0.186533
3.4,0.495276,0.192965
3.5,0.488844,0.186533
3.6,0.488844,0.192965
3.7,0.488844,0.186533
3.8,0.488844,0.192965
3.9,0.488844,0.192965
4,0.495276,0.186533
4.1,0.495276,0.192965
4.2,0.495276,0.192965
4.3,0.488844,0.192965
4.4,0.488844,0.186533
4.5,0.488844,0.192965
4.6,0.488844,0.192965
4.7,0.488844,0.186533
4.8,0.488844,0.186533
4.9,0.495276,0.186533
