time,input,output
-5,0.984522,0.81005
-4.9,0.984522,0.81005
-4.8,0.984522,0.81005
-4.7,0.984522,0.81005
-4.6,0.984522,0.81005
-4.5,0.984522,0.81005
-4.4,0.984522,0.81005
-4.3,0.97206,0.81005
-4.2,0.97206,0.81005
-4.1,0.984522,0.81005
-4,0.984522,0.81005
-3.9,0.984522,0.81005
-3.8,0.984522,0.81005
-3.7,0.984522,0.81005
-3.6,0.984522,0.81005
-3.5,0.97206,0.81005
-3.4,0.984522,0.81005
-3.3,0.984522,0.81005
-3.2,0.984522,0.81005
-3.1,0.984522,0.81005
-3,0.97206,0.81005
-2.9,0.984522,0.81005
-2.8,0.984522,0.81005
-2.7,0.984522,0.81005
-2.6,0.97206,0.81005
-2.5,0.984522,0.81005
-2.4,0.97206,0.81005
-2.3,0.97206,0.81005
-2.2,0.984522,0.81005
-2.1,0.984522,0.81005
-2,0.984522,0.81005
-1.9,0.984522,0.81005
-1.8,0.97206,0.81005
-1.7,0.984522,0.81005
-1.6,0.984522,0.81005
-1.5,0.984522,0.81005
-1.4,0.984522,0.81005
-1.3,0.984522,0.81005
-1.2,0.984522,0.81005
-1.1,0.984522,0.81005
-1,0.97206,0.81005
-0.9,0.984522,0.81005
-0.8,0.984522,0.81005
-0.7,0.984522,0.81005
-0.6,0.984522,0.81005
-0.5,0.984522,0.81005
-0.4,0.984522,0.81005
-0.3,0.984522,0.81005
-0.2,0.984522,0.81005
-0.1,0.984522,0.81005
0,0.984522,0.81005
0.1,0.984522,0.81005
0.2,0.984522,0.81005
0.3,0.97206,0.81005
0.4,0.97206,0.81005
0.5,0.984522,0.81005
0.6,0.984522,0.81005
0.7,0.984522,0.81005
0.8,0.984522,0.81005
0.9,0.984522,0.81005
1,0.984522,0.81005
1.1,0.984522,0.81005
1.2,0.984522,0.81005
1.3,0.984522,0.81005
1.4,0.984522,0.81005
1.5,0.97206,0.81005
1.6,0.984522,0.81005
1.7,0.984522,0.81005
1.8,0.984522,0.81005
1.9,0.984522,0.81005
2,0.984522,0.81005
2.1,0.97206,0.81005
2.2,0.984522,0.81005
2.3,0.984522,0.81005
2.4,0.984522,0.81005
2.5,0.984522,0.81005
2.6,0.984522,0.81005
2.7,0.97206,0.81005
2.8,0.984522,0.81005
2.9,0.984522,0.81005
3,0.984522,0.81005
3.1,0.984522,0.81005
3.2,0.984522,0.81005
3.3,0.97206,0.81005
3.4,0.984522,0.81005
3.5,0.984522,0.81005
3.6,0.984522,0.81005
3.7,0.984522,0.81005
3.8,0.97206,0.81005
3.9,0.984522,0.81005
4,0.984522,0.81005
4.1,0.984522,0.81005
4.2,0.984522,0.81005
4.3,0.984522,0.81005
4.4,0.97206,0.81005
4.5,0.984522,0.81005
4.6,0.984522,0.81005
4.7,0.984522,0.81005
4.8,0.984522,0.81005
4.9,0.984522,0.81005
