time,input,output
-5,0,0
-4.9,0,0
-4.8,0,0
-4.7,0,0
-4.6,0,0
-4.5,0,0
-4.4,0,0
-4.3,0,0
-4.2,0,0
-4.1,0,0
-4,0,0
-3.9,0,0
-3.8,0,0
-3.7,0,0
-3.6,0,0
-3.5,0,0
-3.4,0,0
-3.3,0,0
-3.2,0,0
-3.1,0,0
-3,0,0
-2.9,0,0
-2.8,0,0
-2.7,0,0
-2.6,0,0
-2.5,0,0
-2.4,0,0
-2.3,0,0
-2.2,0,0
-2.1,0,0
-2,0,0
-1.9,0,0
-1.8,0,0
-1.7,0,0
-1.6,0,0
-1.5,0,0
-1.4,0,0
-1.3,0,0
-1.2,0,0
-1.1,0,0
-1,0,0
-0.9,0,0
-0.8,0,0
-0.7,0,0
-0.6,0,0
-0.5,0,0
-0.4,0,0
-0.3,0,0
-0.2,0,0
-0.1,0,0
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0.595779,0.106935
1.1,0.595779,0.0687437
1.2,0.588141,0.0687437
1.3,0.595779,0.0687437
1.4,0.595779,0.0763819
1.5,0.588141,0.0763819
1.6,0.595779,0.0763819
1.7,0.595779,0.0763819
1.8,0.595779,0.0763819
1.9,0.595779,0.0763819
2,0.595779,0.0763819
2.1,0.595779,0.0763819
2.2,0.595779,0.0763819
2.3,0.595779,0.0763819
2.4,0.595779,0.0763819
2.5,0.595779,0.0763819
2.6,0.595779,0.0763819
2.7,0.595779,0.0763819
2.8,0.595779,0.0763819
2.9,0.595779,0.0763819
3,0.595779,0.0763819
3.1,0.595779,0.0763819
3.2,0.595779,0.0763819
3.3,0.595779,0.0763819
3.4,0.595779,0.0763819
3.5,0.595779,0.0763819
3.6,0.595779,0.0763819
3.7,0.595779,0.0763819
3.8,0.595779,0.0763819
3.9,0.595779,0.0763819
4,0.595779,0.0763819
4.1,0.595779,0.0763819
4.2,0.595779,0.0763819
4.3,0.595779,0.0840201
4.4,0.595779,0.0840201
4.5,0.595779,0.106935
4.6,0.595779,0.122211
4.7,0.595779,0.122211
4.8,0.595779,0.129849
4.9,0.595779,0.137487
