time,input,output
-5,0.0940703,0.0120603
-4.9,0.0976884,0.0108543
-4.8,0.0988945,0.00964824
-4.7,0.0964824,0.00964824
-4.6,0.0976884,0.00964824
-4.5,0.0988945,0.0108543
-4.4,0.0976884,0.0108543
-4.3,0.0904523,0.00964824
-4.2,0.0952764,0.00964824
-4.1,0.0976884,0.00964824
-4,0.0964824,0.0108543
-3.9,0.0964824,0.00964824
-3.8,0.0952764,0.00964824
-3.7,0.0952764,0.00964824
-3.6,0.0976884,0.00964824
-3.5,0.0964824,0.00964824
-3.4,0.0964824,0.00964824
-3.3,0.0976884,0.0108543
-3.2,0.0976884,0.0108543
-3.1,0.0964824,0.0108543
-3,0.1001,0.0120603
-2.9,0.0988945,0.0108543
-2.8,0.0976884,0.0108543
-2.7,0.0964824,0.0108543
-2.6,0.0952764,0.00964824
-2.5,0.0988945,0.0120603
-2.4,0.0976884,0.00964824
-2.3,0.0988945,0.00964824
-2.2,0.0952764,0.0108543
-2.1,0.0964824,0.0108543
-2,0.0988945,0.0108543
-1.9,0.0964824,0.00964824
-1.8,0.0964824,0.0108543
-1.7,0.0964824,0.0108543
-1.6,0.0868342,0.0120603
-1.5,0.1001,0.0108543
-1.4,0.0976884,0.0108543
-1.3,0.0976884,0.00964824
-1.2,0.0964824,0.0108543
-1.1,0.0988945,0.0108543
-1,0.0952764,0.00964824
-0.9,0.0964824,0.0108543
-0.8,0.0964824,0.00964824
-0.7,0.0976884,0.0108543
-0.6,0.0964824,0.0108543
-0.5,0.0964824,0.0108543
-0.4,0.0976884,0.0108543
-0.3,0.0952764,0.00964824
-0.2,0.0964824,0.00964824
-0.1,0.0940703,0.00964824
0,0.0892462,0.0120603
0.1,0.0976884,0.0108543
0.2,0.0964824,0.0108543
0.3,0.0976884,0.0108543
0.4,0.0964824,0.0108543
0.5,0.0988945,0.0108543
0.6,0.0952764,0.00964824
0.7,0.0976884,0.0108543
0.8,0.0976884,0.0108543
0.9,0.101307,0.0120603
1,0.0964824,0.00964824
1.1,0.0964824,0.0108543
1.2,0.0976884,0.0120603
1.3,0.0976884,0.0108543
1.4,0.0976884,0.0108543
1.5,0.0964824,0.0108543
1.6,0.0976884,0.0108543
1.7,0.0976884,0.0108543
1.8,0.0964824,0.00964824
1.9,0.0940703,0.00964824
2,0.0940703,0.00964824
2.1,0.0976884,0.0108543
2.2,0.0976884,0.0108543
2.3,0.0976884,0.0108543
2.4,0.0940703,0.00964824
2.5,0.0988945,0.0108543
2.6,0.0976884,0.0108543
2.7,0.0964824,0.0108543
2.8,0.0964824,0.0108543
2.9,0.0880402,0.0108543
3,0.0964824,0.0108543
3.1,0.0964824,0.0108543
3.2,0.0964824,0.00964824
3.3,0.0976884,0.0108543
3.4,0.0988945,0.0108543
3.5,0.0976884,0.0108543
3.6,0.0976884,0.00964824
3.7,0.0988945,0.0120603
3.8,0.0964824,0.00964824
3.9,0.0988945,0.0108543
4,0.0976884,0.0108543
4.1,0.0916583,0.00964824
4.2,0.0976884,0.00964824
4.3,0.0964824,0.0108543
4.4,0.0976884,0.00964824
4.5,0.0964824,0.00964824
4.6,0.0976884,0.00964824
4.7,0.0964824,0.00964824
4.8,0.0976884,0.0120603
4.9,0.0976884,0.0108543
