time,input,output
-5,0.293065,0.184523
-4.9,0.293065,0.184523
-4.8,0.293065,0.184523
-4.7,0.289447,0.184523
-4.6,0.293065,0.184523
-4.5,0.293065,0.184523
-4.4,0.293065,0.184523
-4.3,0.293065,0.184523
-4.2,0.293065,0.184523
-4.1,0.289447,0.184523
-4,0.293065,0.184523
-3.9,0.293065,0.184523
-3.8,0.293065,0.184523
-3.7,0.293065,0.184523
-3.6,0.289447,0.184523
-3.5,0.293065,0.184523
-3.4,0.293065,0.184523
-3.3,0.293065,0.184523
-3.2,0.289447,0.184523
-3.1,0.293065,0.184523
-3,0.293065,0.184523
-2.9,0.293065,0.184523
-2.8,0.293065,0.184523
-2.7,0.293065,0.184523
-2.6,0.293065,0.184523
-2.5,0.293065,0.184523
-2.4,0.293065,0.184523
-2.3,0.293065,0.184523
-2.2,0.293065,0.184523
-2.1,0.293065,0.180904
-2,0.289447,0.184523
-1.9,0.293065,0.184523
-1.8,0.293065,0.184523
-1.7,0.293065,0.184523
-1.6,0.293065,0.184523
-1.5,0.293065,0.184523
-1.4,0.289447,0.184523
-1.3,0.293065,0.184523
-1.2,0.293065,0.184523
-1.1,0.293065,0.184523
-1,0.289447,0.184523
-0.9,0.289447,0.184523
-0.8,0.289447,0.180904
-0.7,0.293065,0.184523
-0.6,0.293065,0.184523
-0.5,0.293065,0.184523
-0.4,0.293065,0.184523
-0.3,0.293065,0.184523
-0.2,0.289447,0.180904
-0.1,0.293065,0.184523
0,0.289447,0.184523
0.1,0.293065,0.184523
0.2,0.289447,0.184523
0.3,0.293065,0.184523
0.4,0.293065,0.184523
0.5,0.293065,0.184523
0.6,0.293065,0.184523
0.7,0.293065,0.184523
0.8,0.293065,0.184523
0.9,0.293065,0.184523
1,0.293065,0.184523
1.1,0.293065,0.184523
1.2,0.293065,0.184523
1.3,0.293065,0.184523
1.4,0.289447,0.184523
1.5,0.293065,0.184523
1.6,0.293065,0.184523
1.7,0.293065,0.184523
1.8,0.293065,0.184523
1.9,0.293065,0.184523
2,0.293065,0.184523
2.1,0.293065,0.184523
2.2,0.293065,0.184523
2.3,0.293065,0.184523
2.4,0.293065,0.184523
2.5,0.293065,0.184523
2.6,0.293065,0.184523
2.7,0.293065,0.184523
2.8,0.293065,0.180904
2.9,0.289447,0.180904
3,0.289447,0.180904
3.1,0.293065,0.184523
3.2,0.289447,0.184523
3.3,0.293065,0.184523
3.4,0.293065,0.184523
3.5,0.293065,0.184523
3.6,0.293065,0.184523
3.7,0.293065,0.184523
3.8,0.293065,0.184523
3.9,0.293065,0.184523
4,0.293065,0.184523
4.1,0.289447,0.180904
4.2,0.296683,0.184523
4.3,0.293065,0.184523
4.4,0.293065,0.180904
4.5,0.293065,0.184523
4.6,0.293065,0.184523
4.7,0.289447,0.180904
4.8,0.293065,0.184523
4.9,0.293065,0.184523
